;N;VOZR;GOD_POST;VREM_OB;COD_COURS;UROVEN;NAPR;UZNAL;VR_PUT;PROFROD;TEACHER;STAG
72;8400;13;2016;8;7;3;2;интернет;8;лаборант;117;4
73;8400;14;2017;8;18;2;3;интернет;8;лаборант;24;14
74;8400;15;2018;12;4;2;2;интернет;8;лаборант;7;15
75;8401;14;2016;8;19;3;5;знакомые;8;н;86;7
76;8404;16;2016;8;4;2;2;знакомые;22;научн_сотр;7;13
77;8409;12;2016;8;1;1;1;интернет;15;сотр_ооо;146;0
78;8409;13;2017;8;18;2;3;интернет;15;сотр_ооо;24;14
79;8409;14;2018;6;20;3;3;интернет;15;сотр_ооо;24;15
80;8410;13;2017;8;2;1;1;знакомые;8;нач_отд;148;1
81;8410;14;2018;8;3;2;2;знакомые;8;нач_отд;149;2
82;8410;15;2019;8;11;2;5;знакомые;8;нач_отд;153;2
83;8410;16;2020;8;19;3;5;знакомые;8;нач_отд;86;11
84;8439;13;2018;8;4;2;2;знакомые;28;н;7;15
85;8439;14;2019;8;16;3;4;знакомые;28;н;140;4
86;8441;11;2016;8;3;2;2;знакомые;33;домохозяйка;117;4
87;8441;12;2017;8;11;2;5;знакомые;33;домохозяйка;144;1
88;8463;16;2016;8;11;2;5;интернет;29;сотр_зао;144;0
89;8463;17;2017;8;19;3;5;интернет;29;сотр_зао;144;1
90;8490;16;2016;5;20;3;3;интернет;12;н;24;13
91;8524;15;2016;8;11;2;5;интернет;5;менеджер;144;0
92;8524;16;2017;8;13;3;4;интернет;5;менеджер;130;4
93;8529;12;2016;8;2;1;1;интернет;10;энергетик;137;2
94;8529;13;2017;8;4;2;2;интернет;10;энергетик;7;14
95;8529;14;2018;8;3;2;2;интернет;10;энергетик;141;3
96;8529;15;2019;8;15;3;2;интернет;10;энергетик;130;6
97;8529;16;2020;8;16;3;4;интернет;10;энергетик;140;5
98;8534;12;2016;8;2;1;1;интернет;16;н;137;2
99;8534;13;2017;8;13;3;4;интернет;16;н;140;2
100;8534;14;2018;8;16;3;4;интернет;16;н;140;4
101;8534;15;2019;8;18;2;3;интернет;16;н;24;16
102;8534;16;2020;8;20;3;3;интернет;16;н;24;17
103;8535;15;2016;8;11;2;5;знакомые;5;директор;144;0
104;8539;16;2016;2;18;2;3;н;36;н;24;13
105;8540;14;2016;8;19;3;5;интернет;33;н;86;7
106;8553;13;2016;7;18;2;3;интернет;15;н;24;13
107;8553;14;2017;8;16;3;4;интернет;15;н;140;2
108;8566;15;2016;2;4;2;2;интернет;40;сотр_пит;7;13
109;8582;11;2016;5;2;1;1;интернет;15;домохозяйка;137;2
110;8582;12;2017;3;2;1;1;интернет;15;домохозяйка;137;2
111;8582;12;2017;8;17;3;3;интернет;15;домохозяйка;148;1
112;8591;15;2016;8;20;3;3;интернет;36;н;24;13
113;8600;16;2019;6;13;3;4;знакомые;8;н;155;1
114;8601;15;2016;5;19;3;5;знакомые;30;сотр_фирмы;86;7
115;8601;15;2016;3;19;3;5;знакомые;30;сотр_фирмы;86;7
116;8604;12;2016;8;7;3;2;знакомые;19;преподаватель;117;4
117;8624;15;2016;8;18;2;3;итмо;38;инженер;24;13
118;8631;14;2016;8;19;3;5;знакомые;33;н;86;7
119;8634;15;2016;8;13;3;4;итмо;19;н;140;1
120;8637;13;2016;8;2;1;1;знакомые;24;админ;137;1
121;8637;14;2017;6;17;3;3;знакомые;24;админ;148;1
122;8637;15;2018;1;17;3;3;знакомые;24;админ;148;1
123;8637;15;2018;8;11;2;5;знакомые;24;админ;144;2
124;8637;15;2018;8;5;3;2;знакомые;24;админ;150;2
125;8692;12;2016;1;2;1;1;знакомые;35;н;148;0
126;8692;12;2016;8;6;3;2;знакомые;35;н;152;0
127;8693;13;2016;8;18;2;3;знакомые;15;н;24;13
128;8707;10;2016;8;1;1;1;интернет;33;сотр_космет;143;0
129;8707;12;2018;8;2;1;1;интернет;33;сотр_космет;148;2
130;8707;13;2019;8;11;2;5;интернет;33;сотр_космет;153;2
131;8707;14;2020;8;19;3;5;интернет;33;сотр_космет;86;11
132;8716;15;2016;8;18;2;3;знакомые;8;управляющий;24;13
133;8755;13;2016;8;4;2;2;знакомые;19;зам_нач;7;13
134;8759;14;2016;8;20;3;3;интернет;42;н;24;13
135;8760;14;2016;8;11;2;5;знакомые;40;инженер;144;0
136;8775;10;2016;3;2;1;1;знакомые;19;преподаватель;148;0
137;8775;11;2017;8;1;1;1;знакомые;19;преподаватель;153;0
138;8776;15;2016;6;18;2;3;итмо;30;преподаватель;24;13
139;8789;11;2016;8;11;2;5;итмо;40;бухгалтер;144;0
140;8789;12;2017;7;4;2;2;итмо;40;бухгалтер;7;14
141;8792;13;2016;8;3;2;2;знакомые;36;сотр_детсада;117;4
142;8804;11;2016;4;1;1;1;знакомые;36;админ;143;0
143;8817;11;2016;8;1;1;1;интернет;39;специалист;146;0
144;8822;10;2016;8;1;1;1;итмо;5;сотр_детсада;143;0
145;8822;11;2017;8;2;1;1;итмо;5;сотр_детсада;148;1
146;8822;12;2018;8;17;3;3;итмо;5;сотр_детсада;148;2
147;8822;13;2019;8;13;3;4;итмо;5;сотр_детсада;140;4
148;8822;14;2020;8;18;2;3;итмо;5;сотр_детсада;159;0
149;8826;15;2017;8;6;3;2;знакомые;30;сотр_издат;150;1
150;8831;11;2016;8;1;1;1;интернет;36;директор;146;0
151;8831;12;2017;8;2;1;1;интернет;36;директор;148;1
152;8831;13;2018;8;3;2;2;интернет;36;директор;149;2
153;8831;14;2019;8;7;3;2;интернет;36;директор;149;3
154;8831;15;2020;8;4;2;2;интернет;36;директор;7;17
155;8832;15;2016;8;7;3;2;интернет;5;директор;117;4
156;8836;16;2016;8;20;3;3;интернет;40;преподаватель;24;13
157;8851;12;2016;8;2;1;1;интернет;37;бухгалтер;137;2
158;8851;13;2017;8;11;2;5;интернет;37;бухгалтер;144;1
159;8855;14;2017;8;20;3;3;интернет;33;врач;24;14
160;8856;13;2016;8;11;2;5;знакомые;12;сотр_ооо;144;0
161;8856;14;2017;8;19;3;5;знакомые;12;сотр_ооо;144;1
162;8856;14;2017;8;13;3;4;знакомые;12;сотр_ооо;140;3
163;8860;13;2016;8;11;2;5;знакомые;8;н;144;0
164;8865;13;2016;8;15;3;2;интернет;15;н;130;3
165;8865;13;2016;8;18;2;3;интернет;15;н;24;13
166;8865;14;2017;2;16;3;4;интернет;15;н;140;2
167;8865;14;2017;8;20;3;3;интернет;15;н;24;14
168;8867;15;2017;8;6;3;2;интернет;15;директор;150;1
169;8879;14;2016;8;13;3;4;итмо;19;менеджер;140;1
170;8879;15;2017;8;19;3;5;итмо;19;менеджер;144;1
171;8880;12;2016;8;6;3;2;знакомые;28;н;150;0
172;8881;12;2016;8;2;1;1;интернет;28;экономист;148;0
173;8884;14;2016;2;3;2;2;знакомые;33;менеджер;117;4
174;8885;12;2016;8;2;1;1;итмо;40;н;137;2
175;8886;11;2016;4;1;1;1;интернет;15;директор;143;0
176;8886;12;2017;4;1;1;1;интернет;15;директор;143;1
177;8887;14;2016;8;11;2;5;интернет;40;сресарь;144;0
178;8887;14;2016;8;18;2;3;интернет;40;сресарь;24;13
179;8887;15;2017;8;13;3;4;интернет;40;сресарь;140;2
180;8887;15;2017;8;19;3;5;интернет;40;сресарь;144;1
181;8887;16;2018;8;15;3;2;интернет;40;сресарь;130;5
182;8889;12;2016;8;2;1;1;знакомые;28;бухгалтер;137;2
183;8889;13;2017;8;18;2;3;знакомые;28;бухгалтер;24;14
184;8889;14;2018;8;11;2;5;знакомые;28;бухгалтер;144;2
185;8889;15;2019;8;19;3;5;знакомые;28;бухгалтер;86;10
186;8890;12;2016;8;2;1;1;знакомые;34;бухгалтер;137;2
187;8890;13;2017;8;18;2;3;знакомые;34;бухгалтер;24;14
188;8890;14;2018;8;11;2;5;знакомые;34;бухгалтер;144;2
189;8891;13;2016;8;18;2;3;знакомые;40;н;24;13
190;8891;14;2017;8;13;3;4;знакомые;40;н;130;4
191;8891;15;2018;8;11;2;5;знакомые;40;н;86;9
192;8892;13;2016;8;2;1;1;интернет;14;н;148;0
193;8893;13;2016;8;7;3;2;интернет;39;специалист;117;4
194;8895;14;2016;8;11;2;5;знакомые;8;н;144;0
195;8895;15;2017;8;20;3;3;знакомые;8;н;24;14
196;8896;12;2016;6;7;3;2;интернет;5;заведующий;117;4
197;8905;13;2016;8;18;2;3;интернет;40;нач_отд;24;13
198;8905;14;2017;8;13;3;4;интернет;40;нач_отд;130;4
199;8905;15;2018;8;11;2;5;интернет;40;нач_отд;144;2
200;8905;16;2019;8;19;3;5;интернет;40;нач_отд;86;10
201;8906;14;2016;8;15;3;2;интернет;34;менеджер;130;3
202;8908;14;2016;8;11;2;5;знакомые;34;экономист;144;0
203;8933;14;2016;8;15;3;2;интернет;12;н;130;3
204;8941;14;2016;8;15;3;2;интернет;23;н;130;3
205;8943;13;2016;8;18;2;3;итмо;19;н;24;13
206;8943;14;2017;8;15;3;2;итмо;19;н;130;4
207;8949;14;2016;8;4;2;2;н;40;н;130;3
208;8952;11;2016;8;1;1;1;знакомые;15;домохозяйка;143;0
209;8952;12;2017;8;3;2;2;знакомые;15;домохозяйка;141;2
210;8952;13;2018;4;11;2;5;знакомые;15;домохозяйка;144;2
211;8955;12;2016;8;1;1;1;вк;15;н;146;0
212;8956;13;2016;8;18;2;3;интернет;34;н;24;13
213;8957;11;2016;8;1;1;1;знакомые;28;бухгалтер;143;0
214;8957;12;2017;8;11;2;5;знакомые;28;бухгалтер;144;1
215;8958;13;2016;8;18;2;3;интернет;42;н;24;13
216;8958;14;2017;8;20;3;3;интернет;42;н;24;14
217;8959;11;2016;8;1;1;1;интернет;28;бухгалтер;143;0
218;8959;12;2017;8;11;2;5;интернет;28;бухгалтер;144;1
219;8967;15;2016;8;11;2;5;интернет;8;специалист;144;0
220;8975;11;2016;8;1;1;1;знакомые;15;экономист;146;0
221;8982;15;2016;8;11;2;5;знакомые;15;н;144;0
222;8983;16;2016;4;13;3;4;интернет;40;инд_предпр;140;2
223;8985;14;2016;8;15;3;2;интернет;36;преподаватель;130;3
224;8990;10;2016;8;1;1;1;н;35;сотр_нии;143;0
225;8990;11;2017;8;2;1;1;н;35;сотр_нии;148;1
226;8990;12;2018;1;11;2;5;н;35;сотр_нии;144;2
227;9008;16;2016;8;4;2;2;знакомые;34;нач_отд;7;13
228;9008;17;2017;8;13;3;4;знакомые;34;нач_отд;130;4
229;9025;12;2016;8;6;3;2;интернет;15;сотр_пао;150;0
230;9027;13;2016;8;18;2;3;интернет;22;директор;24;13
231;9030;10;2016;8;1;1;1;знакомые;32;бухгалтер;146;0
232;9030;11;2017;8;2;1;1;знакомые;32;бухгалтер;148;1
233;9031;12;2016;8;4;2;2;знакомые;15;н;130;3
234;9031;13;2017;8;6;3;2;знакомые;15;н;150;1
235;9032;14;2017;8;2;1;1;интернет;7;инспектор;148;1
236;9032;15;2018;8;11;2;5;интернет;7;инспектор;153;1
237;9033;13;2016;8;18;2;3;интернет;5;н;24;13
238;9035;12;2016;8;2;1;1;знакомые;32;директор;148;0
239;9056;16;2016;8;16;3;7;итмо;18;н;7;13
240;9065;12;2016;4;3;2;2;н;38;бухгалтер;117;4
241;9065;13;2017;4;3;2;2;н;38;бухгалтер;117;4
242;9080;12;2016;8;4;2;2;интернет;34;домохозяйка;7;13
243;9080;13;2017;8;18;2;3;интернет;34;домохозяйка;7;14
244;9080;14;2018;8;20;3;3;интернет;34;домохозяйка;24;15
245;9080;15;2019;8;15;3;2;интернет;34;домохозяйка;130;6
246;9080;16;2020;8;16;3;4;интернет;34;домохозяйка;140;5
247;9086;14;2016;8;13;3;4;интернет;8;фотограф;140;1
248;9086;15;2017;5;20;3;3;интернет;8;фотограф;24;14
249;9090;14;2016;8;19;3;5;знакомые;8;вязальщица;86;7
250;9102;12;2016;8;2;1;1;итмо;15;дизайнер;148;0
251;9102;12;2016;8;6;3;2;итмо;15;дизайнер;152;0
252;9102;13;2017;8;11;2;5;итмо;15;дизайнер;144;1
253;9102;13;2017;8;18;2;3;итмо;15;дизайнер;7;14
254;9106;15;2016;1;4;2;2;знакомые;5;н;7;13
255;9123;15;2016;7;20;3;3;знакомые;30;н;24;13
256;9129;13;2016;8;11;2;5;интернет;38;н;144;0
257;9138;12;2016;8;2;1;1;интернет;23;психолог;137;2
258;9145;12;2016;3;4;2;2;итмо;15;домохозяйка;7;13
259;9162;15;2016;8;11;2;5;интернет;19;админ;144;0
260;9162;16;2017;8;19;3;5;интернет;19;админ;144;1
261;9164;14;2016;8;15;3;2;знакомые;22;н;130;3
262;9182;12;2016;2;6;3;2;интернет;33;директор;150;0
263;9186;12;2016;8;2;1;1;знакомые;15;н;148;0
264;9192;14;2016;7;2;1;1;интернет;40;сотр_салон;137;2
265;9193;14;2016;8;15;3;2;интернет;8;начальник;130;3
266;9193;15;2017;8;11;2;5;интернет;8;начальник;144;1
267;9194;14;2016;8;18;2;3;знакомые;15;н;24;13
268;9198;16;2016;6;20;3;3;вк;15;сотр_ооо;24;13
269;9199;12;2016;8;2;1;1;знакомые;5;экономист;137;2
270;9199;13;2017;8;4;2;2;знакомые;5;экономист;7;14
271;9199;14;2018;8;11;2;5;знакомые;5;экономист;144;2
272;9199;15;2019;6;13;3;4;знакомые;5;экономист;155;1
273;9201;13;2017;4;18;2;3;знакомые;24;менеджер;24;14
274;9201;13;2017;4;18;2;3;знакомые;24;менеджер;24;14
275;9201;14;2018;8;17;3;3;знакомые;24;менеджер;148;2
276;9203;12;2016;8;2;1;1;интернет;15;домохозяйка;137;2
277;9203;13;2017;2;18;2;3;интернет;15;домохозяйка;24;14
278;9206;12;2016;7;4;2;2;интернет;27;сотр_горного;7;13
279;9220;12;2016;8;2;1;1;интернет;15;эксперт;137;2
280;9224;13;2016;8;18;2;3;знакомые;8;сотр_ооо;24;13
281;9226;13;2016;8;6;3;2;интернет;19;директор;152;0
282;9226;14;2017;8;18;2;3;интернет;19;директор;24;14
283;9231;10;2016;1;0;1;1;интернет;23;специалист;149;0
284;9243;10;2016;8;1;1;1;знакомые;15;менеджер;146;0
285;9243;11;2017;1;2;1;1;знакомые;15;менеджер;148;1
286;9244;17;2016;8;16;3;7;интернет;28;сотр_ан;7;13
287;9246;12;2016;8;13;3;4;знакомые;23;аналитик;140;1
288;9246;13;2017;8;16;3;4;знакомые;23;аналитик;140;2
289;9255;12;2016;8;2;1;1;интернет;28;преподаватель;137;2
290;9255;13;2017;8;13;3;4;интернет;28;преподаватель;140;2
291;9255;14;2018;8;18;2;3;интернет;28;преподаватель;24;15
292;9255;15;2019;8;11;2;5;интернет;28;преподаватель;153;2
293;9260;14;2016;6;18;2;3;вк;40;н;24;13
294;9260;15;2017;8;11;2;5;вк;40;н;144;1
295;9260;16;2018;8;19;3;5;вк;40;н;144;2
296;9263;13;2016;8;4;2;2;интернет;33;н;7;13
297;9263;14;2017;6;18;2;3;интернет;33;н;7;14
298;9263;15;2018;8;5;3;2;интернет;33;н;150;2
299;9271;13;2016;8;4;2;2;интернет;34;директор;7;13
300;9271;14;2017;8;20;3;3;интернет;34;директор;24;14
301;9272;14;2016;8;2;1;1;знакомые;5;менеджер;148;0
302;9276;9;2016;8;0;1;1;интернет;15;бухгалтер;141;1
303;9276;10;2017;8;1;1;1;интернет;15;бухгалтер;153;0
304;9276;11;2018;8;2;1;1;интернет;15;бухгалтер;148;2
305;9282;14;2016;5;18;2;3;интернет;40;н;24;13
306;9288;9;2016;8;0;1;1;интернет;43;н;149;0
307;9288;10;2017;8;1;1;1;интернет;43;н;143;1
308;9293;14;2016;8;2;1;1;знакомые;28;н;137;2
309;9294;12;2016;1;2;1;1;знакомые;22;домохозяйка;137;2
310;9302;14;2016;8;18;2;3;интернет;38;бухгалтер;24;13
311;9303;13;2016;8;18;2;3;школа;40;концертмейстер;24;13
312;9303;14;2017;7;4;2;2;школа;40;концертмейстер;7;14
313;9303;15;2018;8;20;3;3;школа;40;концертмейстер;24;15
314;9309;15;2016;8;18;2;3;интернет;48;заведующий;24;13
315;9309;16;2017;8;20;3;3;интернет;48;заведующий;24;14
316;9310;13;2016;8;18;2;3;интернет;43;сотр_фирмы;24;13
317;9311;12;2016;8;2;1;1;вк;39;повар;137;2
318;9312;12;2016;8;2;1;1;интернет;32;н;137;2
319;9312;13;2017;5;18;2;3;интернет;32;н;24;14
320;9312;14;2018;4;18;2;3;интернет;32;н;24;14
321;9318;12;2016;8;1;1;1;знакомые;38;сотр_ооо;146;0
322;9318;13;2017;8;18;2;3;знакомые;38;сотр_ооо;24;14
323;9319;13;2016;8;2;1;1;интернет;40;н;137;2
324;9319;14;2017;8;18;2;3;интернет;40;н;24;14
325;9319;15;2018;8;5;3;2;интернет;40;н;150;2
326;9324;12;2016;8;1;1;1;интернет;40;таможня;143;0
327;9324;13;2017;8;3;2;2;интернет;40;таможня;141;2
328;9326;11;2016;8;1;1;1;интернет;15;менеджер;143;0
329;9332;14;2016;5;2;1;1;интернет;48;инженер;137;2
330;9343;12;2016;8;2;1;1;знакомые;43;начальник;137;2
331;9345;9;2016;8;0;1;1;интернет;30;домохозяйка;141;1
332;9345;10;2017;8;1;1;1;интернет;30;домохозяйка;143;1
333;9345;11;2018;8;2;1;1;интернет;30;домохозяйка;148;2
334;9345;12;2019;8;11;2;5;интернет;30;домохозяйка;153;2
335;9345;13;2020;8;19;3;5;интернет;30;домохозяйка;86;11
336;9348;9;2016;8;0;1;1;итмо;39;н;141;1
337;9348;10;2017;8;1;1;1;итмо;39;н;153;0
338;9352;13;2016;8;2;1;1;интернет;28;воспитатель;148;0
339;9352;14;2017;8;11;2;5;интернет;28;воспитатель;144;1
340;9353;13;2016;8;2;1;1;интернет;28;сотр_ооо;148;0
341;9360;13;2016;8;2;1;1;интернет;36;продавец;137;2
342;9360;14;2017;8;18;2;3;интернет;36;продавец;24;14
343;9362;13;2016;8;4;2;2;интернет;19;пенсионер;7;13
344;9362;14;2017;8;15;3;2;интернет;19;пенсионер;130;4
345;9369;9;2016;8;0;1;1;знакомые;40;сотр_спортшкола;149;0
346;9369;11;2018;8;1;1;1;знакомые;40;сотр_спортшкола;143;2
347;9369;12;2019;8;2;1;1;знакомые;40;сотр_спортшкола;156;1
348;9369;13;2020;4;10;3;2;знакомые;40;сотр_спортшкола;156;2
349;9369;14;2021;8;4;2;2;знакомые;40;сотр_спортшкола;7;18
350;9371;12;2016;8;1;1;1;знакомые;40;инженер;143;0
351;9375;14;2016;8;3;2;2;знакомые;40;директор;117;4
352;9382;12;2016;8;1;1;1;знакомые;5;админ;146;0
353;9382;13;2017;8;3;2;2;знакомые;5;админ;141;2
354;9383;9;2016;8;0;1;1;интернет;14;менеджер;149;0
355;9383;10;2017;3;1;1;1;интернет;14;менеджер;153;0
356;9383;12;2019;8;11;2;5;интернет;14;менеджер;153;2
357;9384;12;2016;8;1;1;1;интернет;38;специалист;146;0
358;9392;9;2016;8;0;1;1;знакомые;37;директор;149;0
359;9392;10;2017;8;1;1;1;знакомые;37;директор;143;1
360;9393;15;2019;8;15;3;2;интернет;12;домохозяйка;130;5
361;9393;16;2020;4;18;2;3;интернет;12;домохозяйка;159;0
362;9397;12;2016;8;3;2;2;интернет;30;преподаватель;117;4
363;9397;12;2016;8;2;1;1;интернет;30;преподаватель;148;0
364;9402;13;2016;6;18;2;3;вк;32;н;24;13
365;9405;13;2016;8;2;1;1;интернет;22;сотр_связь;148;0
366;9405;14;2017;8;17;3;3;интернет;22;сотр_связь;148;1
367;9409;10;2016;8;0;1;1;интернет;33;начальник;141;1
368;9409;11;2017;8;3;2;2;интернет;33;начальник;141;2
369;9410;10;2016;8;1;1;1;знакомые;15;менеджер;143;0
370;9410;11;2017;4;3;2;2;знакомые;15;менеджер;141;2
371;9411;13;2016;4;18;2;3;интернет;19;советник;24;13
372;9411;13;2016;5;4;2;2;интернет;19;советник;7;13
373;9411;14;2017;8;18;2;3;интернет;19;советник;7;14
374;9411;15;2018;8;13;3;4;интернет;19;советник;140;3
375;9411;16;2019;8;20;3;3;интернет;19;советник;24;16
376;9413;12;2016;8;2;1;1;знакомые;15;н;148;0
377;9415;15;2016;8;3;2;2;интернет;30;руководитель;117;4
378;9415;16;2017;8;18;2;3;интернет;30;руководитель;24;14
379;9416;12;2016;8;1;1;1;знакомые;22;н;146;0
380;9416;13;2017;8;2;1;1;знакомые;22;н;148;1
381;9416;14;2018;8;11;2;5;знакомые;22;н;144;2
382;9424;12;2016;8;1;1;1;интернет;14;домохозяйка;146;0
383;9424;13;2017;6;11;2;5;интернет;14;домохозяйка;144;1
384;9441;8;2016;8;0;1;1;интернет;15;н;141;1
385;9441;11;2019;2;2;1;1;интернет;15;н;148;3
386;9446;13;2016;8;11;2;5;вк;38;бухгалтер;144;0
387;9447;9;2016;8;0;1;1;интернет;35;инд_предпр;141;1
388;9447;10;2017;8;1;1;1;интернет;35;инд_предпр;143;1
389;9447;11;2018;8;3;2;2;интернет;35;инд_предпр;149;2
390;9447;12;2019;8;4;2;2;интернет;35;инд_предпр;7;16
391;9447;13;2020;8;15;3;2;интернет;35;инд_предпр;130;6
392;9447;14;2021;8;13;3;4;интернет;35;инд_предпр;152;5
393;9448;15;2016;8;11;2;5;знакомые;40;инженер;144;0
394;9448;16;2017;5;18;2;3;знакомые;40;инженер;7;14
395;9448;17;2018;4;19;3;5;знакомые;40;инженер;144;2
396;9449;10;2016;8;1;1;1;знакомые;17;инд_предпр;143;0
397;9449;11;2017;8;2;1;1;знакомые;17;инд_предпр;148;1
398;9449;12;2018;8;17;3;3;знакомые;17;инд_предпр;148;2
399;9449;13;2019;8;18;2;3;знакомые;17;инд_предпр;24;16
400;9449;14;2020;8;20;3;3;знакомые;17;инд_предпр;24;17
401;9450;11;2016;5;1;1;1;знакомые;39;н;146;0
402;9450;11;2016;8;2;1;1;знакомые;39;н;148;0
403;9454;13;2016;1;3;2;2;интернет;38;эксперт;117;4
404;9454;13;2016;8;2;1;1;интернет;38;эксперт;137;2
405;9454;14;2017;1;13;3;4;интернет;38;эксперт;140;2
406;9454;14;2017;7;11;2;5;интернет;38;эксперт;144;1
407;9459;16;2016;8;4;2;2;интернет;12;специалист;7;13
408;9460;14;2016;8;11;2;5;интернет;15;н;144;0
409;9461;11;2016;8;1;1;1;интернет;14;начальник;146;0
410;9461;12;2017;8;2;1;1;интернет;14;начальник;148;1
411;9461;13;2018;8;3;2;2;интернет;14;начальник;141;3
412;9461;14;2019;8;11;2;5;интернет;14;начальник;86;10
413;9461;15;2020;8;19;3;5;интернет;14;начальник;86;11
414;9478;15;2016;8;11;2;5;знакомые;43;сотр_пит;144;0
415;9481;11;2016;8;1;1;1;знакомые;12;директор;146;0
416;9481;12;2017;8;4;2;2;знакомые;12;директор;7;14
417;9481;13;2018;2;15;3;2;знакомые;12;директор;130;5
418;9481;13;2018;8;17;3;3;знакомые;12;директор;148;2
